Date,Name,Agency/Position,Location,Description/Cause,Ref.,
"October 7, 2023",Mohammad Al-Salhi [Wikidata],Fourth Authority news agency (photojounalist),"Gaza–Israel border, east of Al-Bureij",Shot by Israeli forces.,[1][2][3],
"October 7, 2023",Mohammad Jarghoun [Wikidata],Smart Media,"Gaza–Israel border, east of Rafah",Shot by Israeli forces.,[1][2],
"October 7, 2023",Ibrahim Mohammad Lafi [Wikidata],Ain Media [Wikidata] (Photographer),Erez Crossing,Shot by Israeli forces.,[1],
"October 8, 2023",Assaad Shamlakh [Wikidata],Freelance,"Sheikh Ijlin, Gaza City","Israeli airstrike, killed along with nine relatives.",[1],
"October 10, 2023",Hisham Alnwajha [Wikidata],Khabar news agency,"Rimal, Gaza City",Israeli airstrike.,[1],
"October 10, 2023",Mohammed Sobh [Wikidata],Khabar news agency (photographer),"Rimal, Gaza City",Israeli airstrike.,[1],
"October 10, 2023",Saeed Al-Taweel [Wikidata],Al-Khamsa News [Wikidata] (editor-in-chief),"Rimal, Gaza City",Israeli airstrike.,[1],
"October 11, 2023",Mohamed Fayez Abu Matar [Wikidata],Freelance photojournalist,Rafah,Israeli airstrike.,[1],
"October 12, 2023",Ahmed Shehab [Wikidata],Radio Voice of the Prisoners [ar],Jabalia,Killed along with his wife and three children in an Israeli airstrike on their residence.,[1],
"October 13, 2023",Husam Mubarak [Wikidata],Al-Aqsa Voice Radio,Northern Gaza,Israeli airstrike.,[1],
"October 13, 2023",Salam Mema [Wikidata],"Freelance journalist, head of the Women Journalists Committee at the Palestinian Media Assembly",Jabalia,Killed in an Israeli airstrike on her residence.,[1],
"October 14, 2023",Yousef Maher Dawas,Contributor (Palestine Chronicle and We Are Not Numbers (WANN)),Beit Lahia,Killed along with several relatives in an Israeli airstrike on their residence.,[1],
"October 16, 2023",Abdulhadi Habib [Wikidata],"Al-Manara News Agency, HQ News Agency",Near Zeitoun,Killed along with several relatives in an Israeli airstrike on their residence.,[1],
"October 17, 2023",Issam Bhar [Wikidata],Al-Aqsa TV,northern Gaza,Israeli airstrike.,[1],
"October 17, 2023",Mohammad Balousha [Wikidata],Palestine Today (administrator),"Al-Saftawi, northern Gaza",Israeli irstrike.,[1],
"October 18, 2023",Sameeh Al-Nady [Wikidata],Al-Aqsa TV (director),,Israeli airstrike.,[1],
"October 19, 2023",Khalil Abu Athra,Al-Aqsa TV (videographer),Rafah,Killed along with his brother in an Israeli airstrike.,[1],
"October 20, 2023",Mohammed Abu Ali [Wikidata],Al-Shabab Radio,Northern Gaza,Israeli airstrike.,[1],
"October 21, 2023",Hani Madhoun [Wikidata],Al-Aqsa TV (administrator),,Killed in an Israeli airstrike on his residence.,[4],
"October 22, 2023",Roshdi Sarraj,Ain Media (co-founder),Tel al-Hawa,Israeli airstrike.,[5][6],
"October 23, 2023",Mohammed Imad Labad [Wikidata],Al Resalah,"Sheikh Radwan, Gaza City",Israeli airstrike.,[1],
"October 25, 2023",Salma Mukhaimer,Freelancer,Rafah,Killed along with her child in an Israeli airstrike.,[1],
"October 25, 2023",Ahmed Abu Mhadi [Wikidata],Al-Aqsa TV,,Israeli airstrike.,[1],
"October 25, 2023",Saed al-Halabi,Al-Aqsa TV,Jabalia refugee camp,Israeli airstrike.,[1],
"October 25, 2023",Jamal Al-Faqaawi [Wikidata],Mithaq Media Foundation,Khan Yunis,Killed in an Israeli airstrike on his residence.,[1],
"October 25, 2023",Zaher Al-Afghani [Wikidata],Mithaq Media Foundation,Deir al-Balah,Killed in an Israeli airstrike on his residence.,[4],
"October 26, 2023",Duaa Sharaf,Al-Aqsa Voice Radio (host),Yarmouk Camp,Killed along with her child in an airstrike on their residence.,[1],
"October 27, 2023",Yasser Abu Namous [Wikidata],Al-Sahel,Khan Yunis,Killed in an airstrike on his residence.,[1],
"October 30, 2023",Nazmi Al-Nadim [Wikidata],Palestine TV (deputy director of finance and administration),Zeitoun,Killed along with relatives in an airstrike on his residence.,[1],
"October 31, 2023",Majed Kashko [Wikidata],Palestine TV (office director),,Killed along with relatives in an Israeli airstrike.,[1],
"October 31, 2023",Imad Al-Wahidi [Wikidata],Palestine TV (administrator),,Killed along with relatives in an Israeli airstrike.,[1],
"November 1, 2023",Iyad Matar [Wikidata],Al-Aqsa TV,Deir al-Balah Governorate,Killed along with his mother in an airstrike on his residence.,[7],
"November 1, 2023",Majd Arandas [Wikidata],Al-Jamaheer,Nuseirat refugee camp,Airstrike.,[1],
"November 2, 2023",Muhammad Abu Hatab [Wikidata],Palestine TV,Khan Yunis,Killed along with eleven relatives in an airstrike on his residence.,[8],
"November 2, 2023",Mohamad Al-Bayyari [Wikidata],Al-Aqsa TV,,Killed in an Israeli airstrike.,[1],
